Category,Year,Title,Author,Text,topic_prediction,probabilities
DDR,1979,An jenem Morgen,Holger Biege,"An jenem Morgen, der unser erster war, spielte die Sonne schon lange in deinem Haar, weißt du noch? Und durch die Fenster kam ein Hauch Wiesenduft. Als die Augen du dann aufgetan und wir zusammen den herrlichen Morgen sah'n, weißt du noch, gingen wir barfuß hinaus auf die Wiesen. An jenem Tag, der unser letzter war, schien eine Sonne so grausam, hart und klar, weißt du noch? Und unsere Wiesen waren grün, giftig grün.",Rauschen,0.0
DDR,1980,Reichtum der Welt,Holger Biege,"Groß ist der Reichtum der Welt - heute noch. Und unsere Erde bleibt unser Stern. Wenn auch die Menschheit heute schon nach ander'n Sternen greift, bleibt die Erde der eine Stern, wo alles wächst und reift. Gibt es den Reichtum der Welt - morgen noch? Oder ist vieles davon schon hin? Die Luft, die uns erst leben lässt, hüllt den Erdball ein. Soll für alle die nach uns kommen, sie schon vergiftet sein? Gibt es den Reichtum der Welt morgen noch? Oder ist vieles davon schon hin? Das Land und auch die Ozeane können sich nicht wehr'n. Ihre Schätze soll'n Späteren auch so wie uns gehör'n. Gehört der Reichtum der Welt - allen schon? Oder bleibt vielen nicht viel versagt?",Bedrohung der Erde durch Mensch und Technologie,1.0
DDR,1985,Legende in Schwarz und Weiß,Kurt Demmler,"Man erzählt von einem Jungen in Schwarz und einem Mädchen in Weiß. Und einem Frühling, der machte dünn das Eis. auf dem See. Man erzählt sie tanzten die Nacht und einen halben Tag auf glühenden Schlittschuhen. Schwarz und Weiß auf einem dünnen Eis. Schlittschuhtanz schliff ihre Schlittschuh heiß, Schlittschuh heiss. Zerschnitten rings das Eis, da glitten sie hinab in den See, leis. Man erzählt daß das die Liebe war, die läßt das Eis schmelzen um sich her, und manchmal auch das auf dem sie tanzt. Man erzählt, Liebe in Massen - Töchterchen, dass du den Boden behälst unter den Füßen.",Mondlicht und Sehnsucht,0.8942772469606921
DDR,1987,Armer Irrer,Rockhaus,"Ich träume täglich davon, endlich ganz oben zu sein. Ich will Autos, ein Haus in der Stadt und am Meer. Man ist begehrt und verehrt und riecht immer gut. Weil Geld nicht stinkt, ja, was will ich denn mehr. Man ist down, isst Kaviar, trinkt literweise Sekt. Redet eigentlich nur Scheiße, der Schwarm ist perfekt. Der Anzug nach Maß, die Klasse kein Fraß, immer anders sein als der gewöhnliche Mob. Und hunderttausend Weiber, das macht Spaß. Hunderttausend Weiber, das ist doch was. Hunderttausend Weiber, das macht Spaß, so lohnt sich das Leben schon. Ich kauf mir Freunde, die für mich lächeln, hab` alles, brauch nicht mehr denken. Geld macht glücklich und schrecklich reich. Und hunderttausend Weiber, das macht Spaß. Hunderttausend Weiber, das ist doch was. Hunderttausend Weiber, das macht Spaß, so lohnt sich das Leben schon. Hunderttausend Weiber, das macht Spaß. Hunderttausend Weiber, das ist doch was. Hunderttausend Weiber, das macht Spaß, so lohnt sich das Leben schon. Nur was mir noch fehlt, ist eine Million, und hunderttausend Weiber, und Macht und reich, und Welt und Weiber, und alles und ewig reich!",Rauschen,0.0
DDR,1984,Doch der Falke fliegt,Dialog,"Sprach eine Märchenfee heut’ Nacht: hab ich dir heute Glück gebracht, bring ich dir Glück bestimmt ein ganzes Leben lang, komm bleib doch bei mir für alle Zeit aus Dank. Sie war so zärtlich, war so lieb, ihr Zimmer war ein Paradies, in ihren Worten lag ein Regenbogenland, in dem ich tausend Träume für mich fand. Doch der Falke fliegt, doch der Falke fliegt, einen Falken fängt man so nicht ein. Doch der Falke fliegt, doch der Falke fliegt, ich möchte wie ein Falke sein. Und als der Morgen mich geweckt, hatte sie schon den Tisch gedeckt und einen Schlüssel gab sie mir von ihrer Tür, sie glaubte, ich bleib' immer nun bei ihr. He, Mädchen lass mich lieber geh'n, ich hab die Welt noch nicht gesehn, ich brauch die Stunden die noch unbeschrieben sind, ich brauche Zeit, damit ich zu mir find'. Doch der Falke fliegt, doch der Falke fliegt, einen Falken fängt man so nicht ein. Doch der Falke fliegt, doch der Falke fliegt, ich möchte wie ein Falke sein.",Mondlicht und Sehnsucht,0.9771686807717466
DDR,1989,Das Eis taut,Petra Zieger,"Will keine Augen, die nicht durchsehn. Keine Augen, die überhör`n. Keine Türen, die nicht aufgehn, grad, wenn wir Einlaß begehr`n. Kein fauler Zauber, der uns blendet und trügt. Wir wissen was wir woll`n und daß nur Trost nicht genügt. Will keine Brücken, die nicht tragen, keine Straße, krümmt sich im Kreis, keine Antwort, die nicht mehr sagt als jedes Kind es schon weiß. Kein fauler Zauber, der uns blendet und trügt. Wir wissen was wir woll`n und daß nur Trost nicht genügt. Das Eis taut auf der Haut und wir werden jede Sehnsucht bemühn. Das Eis taut auf der Haut. Aus der alten Erde treibt neues Grün. Will keine Träume aus dem Kühlfach. Keine Sattheit, die uns beschwert. Und der Trübsinn und der Haß werden uns aus den Herzen gekehrt. Kein fauler Zauber, der uns blendet und trügt. Wir wissen was wir woll`n und daß nur Trost nicht genügt. Das Eis taut auf der Haut und wir werden jede Sehnsucht bemühn. Das Eis taut auf der Haut. Aus der alten Erde treibt neues Grün.",Rauschen,0.0
DDR,1972,Was der Mensch zum Leben braucht,Heinz Kahlau,"Der Eremit, so einsam er auch sei auf seinem Fels am Meer, hat seine Menschenart erlernt, erlernt bei seinesgleichen. Den Gebrauch der Sprache und des Werkzeugs auch, bevor er sich gekränkt entfernt. Auch deshalb existiert er so als Teil der Menschheit, die er floh. Wer nur für Dinge existiert, der hat sich selbst exmittiert von seinem Platz, auf den er zwischen uns gehört. Er fühlt sich oft, sich oft von uns gestört und liebt deshalb nur Hund und Katz. Er meint, er braucht uns gar nicht mehr; das macht ihn öde, taub und leer. Der Mensch, wie kann es anders sein, wird nie ein Mensch durch sich allein. Als Wesen der Gesellschaft hat er Menschen nötig, die wie er Gemeinschaft brauchen, brauchen um sich her. Er braucht Familie, Sorf und Stadt. Nur Arbeit mit Erfolg gepaart, erhält ihn selbst und seine Art. Denn was der Mensch zum Leben braucht, sind Menschen, denn es besteht der Mensch nur aus Beziehungen zum Menschen!",Verrückter Matador im Nebelmeer,0.6152444035746274
DDR,1974,Ermutigung,Wolf Biermann,"Du, lass dich nicht verhärten in dieser harten Zeit. Die allzu hart sind, brechen. Die allzu spitz sind, stechen. und brechen ab sogleich, und brechen ab sogleich. Du, lass dich nicht verbittern in dieser bitt’ren Zeit. Die Herrschenden erzittern, sitzt du erst hinter Gittern, doch nicht vor deinem Leid, auch nicht vor deinem Leid. Du, lass dich nicht erschrecken in diеser Schreckenszеit. Das woll’n sie doch bezwecken, dass wir die Waffen strecken schon vor dem großen Streit, schon vor dem großen Streit. Du, lass dich nicht verbrauchen. Gebrauche deine Zeit. Du kannst nicht untertauchen. Du brauchst uns und wir brauchen grad deine Heiterkeit, grad deine Heiterkeit. Wir woll’n es nicht verschweigen in dieser Schweigezeit: Das Grün bricht aus den Zweigen. Wir woll’n das allen zeigen. Dann wissen sie Bescheid. Dann wissen sie Bescheid.",Tanz der Helden und Feinde,1.0
DDR,1980,1000 Tage nach der Kindheit,Keks,"Du, sieh mal an, dich hier zu sehen ist stark, bist du es oder bist du es nicht, ich kann es kaum glauben, komm mal ans Licht. Oh Mann, weisst du es noch, ich war verknallt, und wie, du warst so dünn wie ein Weihnachtsbaumlicht und ich war schüchtern und traute mich nicht. 1000 Jahre nach der Kindheit, aus der blassen Puppe wurde ein Schmetterling. Und weißt du noch, mein erster Bart war ziemlich dürftig, doch immerhin du fandst ihn irre und ich war in. Das war `ne Zeit, wenn ich uns heute so seh`, so dünn wie damals bist du nicht mehr, du bist nicht schüchtern schon lange nicht mehr. 1000 Jahre nach der Kindheit, aus der blassen Puppe wurde ein Schmetterling. 1000 Jahre nach der Kindheit, aus der blassen Puppe wurde ein Schmetterling.",Rauschen,0.0
DDR,1985,Willamal,Rockhaus,"Willamal, oh, will mal wissen, yeah, wie das so ist. Willamal, mit dem lieben Tantchen küssen, ob er ein Mann ist. Willamal, das eine sag ich dir, der Staatsanwalt steht hinter dir. Willamal, he, lass es lieber sein, die Zeit kommt von ganz allein. Willamal, stopft den BH mit Watte aus, klaut Parfüm aus`m Schrank heraus. Willamal, riecht wie eine Schlunze, doch die Jungs, die riechen Lunte. Willamal, lässt die jungschen Titel stehen, will schon mit den Großen gehen. Willamal, he, lass es lieber sein, die Zeit kommt von ganz allein. Die Jungs nehmen mich nicht heim – tut mir leid, mir leid. Die Jungs nehmen mich nicht heim – du bist zu jung, zu jung. Die Jungs nehmen mich nicht heim – tut mir leid, mir leid. Die Jungs nehmen mich nicht heim – du bist zu jung, zu jung. Willamal, oh, will mal wissen - die Jungs nehmen mich nicht heim. Tut mir leid, mir leid. Die Jungs nehmen mich nicht heim – du bist zu jung, zu jung. Die Jungs nehmen mich nicht heim – die Jungs nehmen mich nicht heim. Tut mir leid, mir leid. Tut mir leid, mir leid. Tut mir leid, mir leid. Tut mir leid, mir leid. Die Jungs nehmen mich nicht heim. Die Jungs nehmen mich nicht heim. Die Jungs nehmen mich nicht heim. Die Jungs nehmen mich nicht heim.",Rauschen,0.0
DDR,1979,Blues,Karat,"Manchmal geht's gut und manchmal nicht und ich verlier mein Gleichgewicht. Dann hüll ich mich in tiefes Schweigen ein und bin ich ganz oben, sing ich einen Blues. Und bin ich ganz unten, sing ich einen Blues. Und steht mir mal eine Träne im Gesicht, dann macht mich so, oh, oh, oh, oh, ein Blues wieder froh. So, oh, oh, oh, oh, ein Blues wieder froh. Dann macht mich so, oh, oh, oh, oh ein Blues wieder froh!",Rauschen,0.0
DDR,1990,Irrenhaus,Keimzeit,"Du erinnerst mich an diesen Zeitungsburschen aus Boston oder New York, der sagte: ""Lieber geh' ich vor die Hunde, als dass ich von euch mir irgendwas borg'"". Im Film ham die immer Fortuna parat. Dich hat man wieder über’s Ohr gehau’n, dann weggejagt. Irre ins Irrenhaus, die Schlauen ins Parlament. Selber schuld daran, wer die Zeichen der Zeit nicht erkennt. In deinen Augen ist zu lesen: Gut, ich geh es an! Auf deiner Lederjacke steht: Vergiss es! In deinem Kopf Größenwahn. Gekonntes Schweigen, ich vermiss' es. Warum denn immer wieder mit Kanonen auf Spatzen? Das Blut spritzt rot. Im Präsidium kreisen die Geier liberal und lachen sich tot. Irre ins Irrenhaus, die Schlauen ins Parlament. Selber schuld daran, wer die Zeichen der Zeit nicht erkennt. Irre ins Irrenhaus, die Schlauen ins Parlament. Selber schuld daran, wer die Zeichen der Zeit nicht erkennt. Dritter Akt, vierte Szene. Verdammt, ich hab’s vergessen. Eine Rose, ich wollt' sie dir ins Irrenhaus schicken. Ich weiß, du bist darauf versessen. Also noch’n paar Runden Domino, bis ich wiederkomm'. Oder eine kleine Reise von Tel Aviv bis nach Babylon. Irre ins Irrenhaus, die Schlauen ins Parlament. Selber schuld daran, wer die Zeichen der Zeit nicht erkennt. Irre ins Irrenhaus, die Schlauen ins Parlament. Selber schuld daran.",Rauschen,0.0
DDR,1988,Lied für den Feind,Gerhard Schöne,"Lieber Feind in der Ferne Der du selbst keinen Krieg willst Der du nur deine Pflicht tust Zur Erhaltung des Schreckens Bitte hör deinen Feind an Wenn sie dir heute sagen: Der da will dir ans Leben! Will dein Haus niederbrennen Deinen Garten vergiften Deine Heimat vernichten! Glaub ihnen nicht Glaub ihnen nicht Glaub ihnen nicht, um Himmels Willen Lieber Feind in der Ferne Liest du heut in der Zeitung Wie gefährlich dein Feind ist Wie gefräßig er lauert Um dein Land zu vernichten Und wenn sie dir befehlen: Leg sein Land jetzt in Asche! Schieß im Namen der Freiheit! Lösch ihn aus, diesen Unmensch Und lass nichts von ihm übrig! Folg ihnen nicht Folg ihnen nicht Folg ihnen nicht, um deinetwillen Lieber Feind in der Ferne Du weißt nicht, wer dein Feind ist Du, wir sollten uns schreiben Um uns kennenzulernen Ich schick dir ein paar Fotos Ich mag auch Stevie Wonder Kennst du schon Okudshawa? Nun sag bloß, du singst selber Dann und wann zur Gitarre Und hängst gern einem Traum nach Schreib mir davon Schreib mir davon Schreib mir davon, um meinetwillen Lieber Feind in der Ferne Unbekannter Verwandter Du sollst wissen, dein Feind hängt Genauso am Leben Und trägt sich noch mit Hoffnung Glaube nicht den Berichten Folge nicht den Befehlen Richte nicht das Visier auf den Bruder, den Freund Denn du träfest dich selber Glaub mir aufs Wort Glaub mir aufs Wort Glaub mir aufs Wort, um unsertwillen",Tanz der Helden und Feinde,1.0
DDR,1975,Alle Kinder Dieser Erde,Frank Schöbel,"Alle Kinder dieser Erde sollen fröhlich sein Sollen singen, sollen träumen, sich auf morgen freu’n Alle Kinder dieser Erde schau’n nach Sonne aus Und sie brauchen Brot und Frieden und ein helles Haus Schön ist ihr Spiel, schön ist ihr Lied Sorgen, dass ihnen kein Unrecht geschieht Alle Kinder dieser Erde haben Blumen gern Und sie suchen Licht und Wärme, suchen ihren Stern Sie wollen fragen und alles seh’n Mit unsrer Antwort darauf durch’s Leben gehen Alle Menschen auf der Erde müssen das versteh’n Alle Kinder dieser Erde sollen fröhlich sein Alle brauchen unsre Liebe, lass sie nicht allein Lasst uns nicht allein",Rauschen,0.0
DDR,1989,Frei wie der Wind,Puhdys,"Fliegen, uralter Traum, Wunder in Zeit und Raum. Fliegen - konntest du’s nicht tausendmal schon im Traum? Frei wie der Wind auf dem Meer. Leben, nur ein einziges Mal. Und dann in Ewigkeit still. Leben, nur einen Stoßseufzer lang. Doch dann wenigstens so wie man will. Frei wie der Wind auf dem Meer. Frei wie der Wind auf dem Meer. Frei sein soll, was da blüht. Wachsen und werden und sein. Nur höchstens mal aus Liebe schränkt man sich selber ein. Frei wie der Wind auf dem Meer. Frei, doch nicht so blind wie er. Frei wie der Wind auf dem Meer. Frei wie der Wind auf dem Meer. Yeah, yeah, wär' ich so frei. Yeah, yeah, ich wär' dabei. Frei wie der Wind auf dem Meer. Frei, doch nicht so blind wie er.",Rauschen,0.0
DDR,1984,Und der Mond schien rot,Karat,"Ich hab' für sie Orchideen gekauft. Die schönsten, die ich fand. Sie waren schön wie das Abendrot auf dem Meer. Ich hab' für sie einen Ring gekauft. Der leuchtete dunkelrot wie der Mond, so rot in der Nacht. Und ich schrieb für sie auf den Zeitungsrand mein erstes Liebeslied. Es war geklaut und trotzdem wunderschön. Ich hab' für sie noch aus Edelstahl eine Kette gekauft. Und ein Schloss dazu nur für sie. Und der Mond schien rot durch das Fenster auf uns. Und er malte uns ein Spiegelbild auf die Haut. Und der Mond schien rot. Und auf ihr Gesicht flog das Lächeln der Welt für mich. Ich hab' für sie Orchideen gekauft. Die schönsten, die ich fand. Doch sie schrieb mir mit Lippenstift an die Wand, dass sie noch nie ein Haus geliebt mit Ketten an der Tür. Dass ihr Traum wie ein Glas zerbrach. Und der Mond schien rot durch das Fenster auf uns. Und er malte uns ein Spiegelbild auf die Haut. Und der Mond schien rot. Und auf ihr Gesicht flog das Lächeln der Welt für mich. Ich hab für sie Orchideen gekauft. Die schönsten, die ich fand. Doch sie schrieb mir mit Lippenstift an die Wand, dass sie noch nie ein Haus geliebt mit Ketten an der Tür. Dass ihr Traum wie ein Glas zerbrach. Und der Mond schien rot durch das Fenster auf uns. Und er malte uns ein Spiegelbild auf die Haut. Und der Mond schien rot. Und auf ihr Gesicht flog das Lächeln der Welt für mich. Ich hab' für sie Orchideen gekauft. Die schönsten, die ich fand. Doch sie schrieb mir mit Lippenstift an die Wand, dass sie noch nie ein Haus geliebt mit Ketten an der Tür. Dass ihr Traum wie ein Glas zerbrach.","Liebe, Musik und Träume in Deutschland",0.5673345303376679
DDR,1973,Trug sie Jeans,Renft,"Polizei – verflucht das Laken fiel auf sie – wie letzter Schnee. Unter dem Strassenbahnwagen tat ihr nichts mehr weh. Regen schlug, die um sie standen waren bleicher noch als sie. Ist der Mensch einmal zuschanden, schweigt man, wenn er schrie. Heldentum oder Versagen? Trug sie Jeans oder ein Kleid? Werden Kinder sie beklagen? Übrig bleibt Mitleid. So nimm dir Zeit, denk an dein Leben. Schuld und Sühne sind verwandt. Worte ohnmächtig zu geben. Wärme ihrer, ihrer Hand. Regen schlug, die um sie standen waren bleicher noch als sie. Ist der Mensch einmal zuschanden, schweigt man, wenn er schrie. Ja, so schweigt man, wenn er schrie.",Tanz der Helden und Feinde,0.9557166247696488
